,team1,team2,pre1,pre2,prob1,prob2,score1,score2
593,13,7,2058.276980847332,2118.4543055633226,0.6328345030290681,0.7901456652354063,0.0,5.0
594,11,17,2064.326489339888,2150.7619991137894,0.5743189435619557,0.8470981994548034,3.0,5.0
595,21,8,2058.293056259263,2169.3702925749844,0.5987888580925215,0.8154373758329736,1.0,6.0
596,18,26,2226.564522255959,2185.468632013673,0.8606867539490678,0.5577457222235235,2.0,4.0
597,25,5,2153.4335510283117,2159.8551360866018,0.7460657883505416,0.6685914219461206,2.0,4.0
598,13,7,2054.8841436883117,2121.8438944554773,0.655655674766916,0.7610030680231632,4.0,0.0
599,5,25,2164.0498574330136,2149.2341311626014,0.7166050207551803,0.7008502597784133,3.0,9.0
600,4,20,2108.7083539821056,2122.0251300946893,0.7226151294260363,0.6921686230620627,6.0,3.0
601,3,28,2048.47125163357,2101.1389041225007,0.6712207415253175,0.7448215967996188,2.0,5.0
602,5,25,2161.692553006473,2151.5940871739285,0.7994740665513016,0.6174827098649255,6.0,3.0
603,16,15,2186.0620035253187,2145.5023080366273,0.8350890908935524,0.5806257998062992,4.0,3.0
604,6,10,2106.8103749989527,2020.5270283005893,0.8468714474844513,0.5687607041490873,10.0,4.0
605,3,28,2050.0926708881484,2099.5203683432906,0.6794231643293708,0.7363479869909918,7.0,8.0
606,4,20,2113.3082098608406,2117.427244395319,0.7309651275903272,0.6843301840101584,6.0,13.0
607,14,23,2243.932736091333,2051.1802073230638,0.9806848197146978,0.43356465820821655,2.0,1.0
608,11,17,2067.6237847651573,2147.466264580495,0.6428689147883779,0.7714415143586715,3.0,8.0
609,2,29,2169.512278379137,2176.1234800556504,0.7317150090890783,0.6825635791529554,5.0,8.0
610,21,8,2060.572229930174,2167.091777009332,0.5996184754964554,0.8147306028613309,3.0,6.0
611,18,26,2229.7053388180666,2182.3264244404045,0.7946633543574209,0.6202247466912485,3.0,6.0
612,1,19,2138.248818991976,2188.4854497463443,0.6283705467469579,0.78755898850709,10.0,1.0
613,27,22,2091.5570781748415,2114.2661657666154,0.7430828637349304,0.6712504391417771,4.0,6.0
614,0,24,2100.9635946343774,2065.6784188045303,0.8221402862783331,0.5970438637518326,2.0,8.0
